Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_22_141,VPWR,li1,73.1400,73.4400,1.799995
FILLER_0_22_139,VPWR,li1,69.6900,73.4400,1.799995
FILLER_0_22_133,VPWR,li1,68.0800,73.4400,1.799995
FILLER_0_22_121,VPWR,li1,63.9400,73.4400,1.799995
FILLER_0_22_109,VPWR,li1,58.4200,73.4400,1.799996
FILLER_0_22_97,VPWR,li1,52.9000,73.4400,1.799996
FILLER_0_22_85,VPWR,li1,47.3800,73.4400,1.799996
FILLER_0_22_83,VPWR,li1,43.9300,73.4400,1.799997
FILLER_0_22_77,VPWR,li1,42.3200,73.4400,1.799997
FILLER_0_22_65,VPWR,li1,38.1800,73.4400,1.799997
FILLER_0_22_53,VPWR,li1,32.6600,73.4400,1.799997
FILLER_0_22_41,VPWR,li1,27.1400,73.4400,1.799998
FILLER_0_22_29,VPWR,li1,21.6200,73.4400,1.799998
FILLER_0_22_18,VPWR,li1,14.0300,73.4400,1.799998
FILLER_0_22_6,VPWR,li1,11.0400,73.4400,1.799998
FILLER_0_21_238,VPWR,li1,115.2300,68.0000,1.799988
FILLER_0_21_205,VPWR,li1,100.7400,68.0000,1.799989
FILLER_0_21_193,VPWR,li1,97.0600,68.0000,1.799990
FILLER_0_21_181,VPWR,li1,91.5400,68.0000,1.799990
FILLER_0_21_169,VPWR,li1,86.0200,68.0000,1.799991
FILLER_0_21_167,VPWR,li1,82.5700,68.0000,1.799991
FILLER_0_21_161,VPWR,li1,80.9600,68.0000,1.799991
FILLER_0_21_149,VPWR,li1,76.8200,68.0000,1.799992
FILLER_0_21_137,VPWR,li1,71.3000,68.0000,1.799993
FILLER_0_21_125,VPWR,li1,65.7800,68.0000,1.799993
FILLER_0_21_113,VPWR,li1,60.2600,68.0000,1.799994
FILLER_0_21_111,VPWR,li1,56.8100,68.0000,1.799994
FILLER_0_21_105,VPWR,li1,55.2000,68.0000,1.799994
FILLER_0_21_93,VPWR,li1,51.0600,68.0000,1.799994
FILLER_0_21_81,VPWR,li1,45.5400,68.0000,1.799995
FILLER_0_21_69,VPWR,li1,40.0200,68.0000,1.799996
FILLER_0_21_57,VPWR,li1,34.5000,68.0000,1.799996
FILLER_0_21_52,VPWR,li1,29.6700,68.0000,1.799997
FILLER_0_21_46,VPWR,li1,28.0600,68.0000,1.799997
FILLER_0_21_34,VPWR,li1,23.9200,68.0000,1.799997
FILLER_0_21_14,VPWR,li1,12.4200,68.0000,1.799997
FILLER_0_21_6,VPWR,li1,10.1200,68.0000,1.799997
FILLER_0_20_231,VPWR,li1,113.6200,68.0000,1.799989
FILLER_0_20_217,VPWR,li1,106.0300,68.0000,1.799989
FILLER_0_20_209,VPWR,li1,103.5000,68.0000,1.799989
FILLER_0_20_197,VPWR,li1,98.9000,68.0000,1.799990
FILLER_0_20_195,VPWR,li1,95.4500,68.0000,1.799990
FILLER_0_20_189,VPWR,li1,93.8400,68.0000,1.799990
FILLER_0_20_177,VPWR,li1,89.7000,68.0000,1.799990
FILLER_0_20_165,VPWR,li1,84.1800,68.0000,1.799991
FILLER_0_20_153,VPWR,li1,78.6600,68.0000,1.799992
FILLER_0_20_141,VPWR,li1,73.1400,68.0000,1.799992
FILLER_0_20_139,VPWR,li1,69.6900,68.0000,1.799993
FILLER_0_20_133,VPWR,li1,68.0800,68.0000,1.799993
FILLER_0_20_121,VPWR,li1,63.9400,68.0000,1.799993
FILLER_0_20_109,VPWR,li1,58.4200,68.0000,1.799994
FILLER_0_20_97,VPWR,li1,52.9000,68.0000,1.799994
FILLER_0_20_85,VPWR,li1,47.3800,68.0000,1.799995
FILLER_0_20_81,VPWR,li1,43.4700,68.0000,1.799995
FILLER_0_20_73,VPWR,li1,40.9400,68.0000,1.799996
FILLER_0_20_61,VPWR,li1,36.3400,68.0000,1.799996
FILLER_0_20_49,VPWR,li1,30.8200,68.0000,1.799997
FILLER_0_20_37,VPWR,li1,25.3000,68.0000,1.799997
FILLER_0_20_27,VPWR,li1,18.1700,68.0000,1.799997
FILLER_0_20_23,VPWR,li1,17.0200,68.0000,1.799997
FILLER_0_20_18,VPWR,li1,14.2600,68.0000,1.799997
FILLER_0_20_6,VPWR,li1,11.0400,68.0000,1.799997
FILLER_0_19_237,VPWR,li1,115.0000,62.5600,1.799999
FILLER_0_19_225,VPWR,li1,111.7800,62.5600,1.799999
FILLER_0_19_223,VPWR,li1,108.3300,62.5600,1.799999
FILLER_0_19_217,VPWR,li1,106.7200,62.5600,1.799999
FILLER_0_19_205,VPWR,li1,102.5800,62.5600,1.799999
FILLER_0_19_193,VPWR,li1,97.0600,62.5600,1.799999
FILLER_0_19_181,VPWR,li1,91.5400,62.5600,1.799999
FILLER_0_19_169,VPWR,li1,86.0200,62.5600,1.799999
FILLER_0_19_167,VPWR,li1,82.5700,62.5600,1.799999
FILLER_0_19_161,VPWR,li1,80.9600,62.5600,1.799999
FILLER_0_19_149,VPWR,li1,76.8200,62.5600,1.799999
FILLER_0_19_137,VPWR,li1,71.3000,62.5600,1.799999
FILLER_0_19_125,VPWR,li1,65.7800,62.5600,1.799999
FILLER_0_19_113,VPWR,li1,60.2600,62.5600,1.799999
FILLER_0_19_111,VPWR,li1,56.8100,62.5600,1.799999
FILLER_0_19_105,VPWR,li1,55.2000,62.5600,1.799999
FILLER_0_19_93,VPWR,li1,51.0600,62.5600,1.799999
FILLER_0_19_81,VPWR,li1,45.5400,62.5600,1.800000
FILLER_0_19_69,VPWR,li1,40.0200,62.5600,1.800000
FILLER_0_19_57,VPWR,li1,34.5000,62.5600,1.800000
FILLER_0_19_54,VPWR,li1,30.8200,62.5600,1.800000
FILLER_0_19_42,VPWR,li1,27.6000,62.5600,1.800000
FILLER_0_19_30,VPWR,li1,22.0800,62.5600,1.800000
FILLER_0_19_18,VPWR,li1,16.5600,62.5600,1.800000
FILLER_0_19_6,VPWR,li1,11.0400,62.5600,1.800000
FILLER_0_18_241,VPWR,li1,116.6100,62.5600,1.799999
FILLER_0_18_233,VPWR,li1,114.5400,62.5600,1.799999
FILLER_0_18_221,VPWR,li1,109.9400,62.5600,1.799999
FILLER_0_18_209,VPWR,li1,104.4200,62.5600,1.799999
FILLER_0_18_197,VPWR,li1,98.9000,62.5600,1.799999
FILLER_0_18_195,VPWR,li1,95.4500,62.5600,1.799999
FILLER_0_18_189,VPWR,li1,93.8400,62.5600,1.799999
FILLER_0_18_177,VPWR,li1,89.7000,62.5600,1.799999
FILLER_0_18_165,VPWR,li1,84.1800,62.5600,1.799999
FILLER_0_18_153,VPWR,li1,78.6600,62.5600,1.799999
FILLER_0_18_141,VPWR,li1,73.1400,62.5600,1.799999
FILLER_0_18_139,VPWR,li1,69.6900,62.5600,1.799999
FILLER_0_18_133,VPWR,li1,68.0800,62.5600,1.799999
FILLER_0_18_121,VPWR,li1,63.9400,62.5600,1.799999
FILLER_0_18_109,VPWR,li1,58.4200,62.5600,1.799999
FILLER_0_18_97,VPWR,li1,52.9000,62.5600,1.799999
FILLER_0_18_85,VPWR,li1,47.3800,62.5600,1.800000
FILLER_0_18_83,VPWR,li1,43.9300,62.5600,1.800000
FILLER_0_18_77,VPWR,li1,42.3200,62.5600,1.800000
FILLER_0_18_65,VPWR,li1,38.1800,62.5600,1.800000
FILLER_0_18_53,VPWR,li1,32.6600,62.5600,1.800000
FILLER_0_18_41,VPWR,li1,27.1400,62.5600,1.800000
FILLER_0_18_29,VPWR,li1,21.6200,62.5600,1.800000
FILLER_0_18_27,VPWR,li1,18.1700,62.5600,1.800000
FILLER_0_18_15,VPWR,li1,15.1800,62.5600,1.800000
FILLER_0_18_3,VPWR,li1,9.6600,62.5600,1.800000
FILLER_0_17_237,VPWR,li1,115.0000,57.1200,1.799999
FILLER_0_17_225,VPWR,li1,111.7800,57.1200,1.799999
FILLER_0_17_223,VPWR,li1,108.3300,57.1200,1.799999
FILLER_0_17_217,VPWR,li1,106.7200,57.1200,1.799999
FILLER_0_17_205,VPWR,li1,102.5800,57.1200,1.799999
FILLER_0_17_193,VPWR,li1,97.0600,57.1200,1.799999
FILLER_0_17_181,VPWR,li1,91.5400,57.1200,1.799999
FILLER_0_17_169,VPWR,li1,86.0200,57.1200,1.799999
FILLER_0_17_167,VPWR,li1,82.5700,57.1200,1.799999
