Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_24_78,VGND,li1,42.7800,76.1600,0.000002
FILLER_0_24_68,VGND,li1,37.2600,76.1600,0.000002
FILLER_0_24_56,VGND,li1,34.0400,76.1600,0.000002
FILLER_0_24_44,VGND,li1,28.5200,76.1600,0.000002
FILLER_0_24_32,VGND,li1,23.0000,76.1600,0.000002
FILLER_0_24_27,VGND,li1,18.1700,76.1600,0.000002
FILLER_0_24_6,VGND,li1,11.0400,76.1600,0.000002
FILLER_0_23_241,VGND,li1,116.6100,76.1600,0.000003
FILLER_0_23_237,VGND,li1,115.4600,76.1600,0.000003
FILLER_0_23_225,VGND,li1,111.7800,76.1600,0.000003
FILLER_0_23_223,VGND,li1,108.3300,76.1600,0.000003
FILLER_0_23_217,VGND,li1,106.7200,76.1600,0.000003
FILLER_0_23_205,VGND,li1,102.5800,76.1600,0.000003
FILLER_0_23_193,VGND,li1,97.0600,76.1600,0.000003
FILLER_0_23_181,VGND,li1,91.5400,76.1600,0.000003
FILLER_0_23_169,VGND,li1,86.0200,76.1600,0.000002
FILLER_0_23_167,VGND,li1,82.5700,76.1600,0.000002
FILLER_0_23_161,VGND,li1,80.9600,76.1600,0.000002
FILLER_0_23_149,VGND,li1,76.8200,76.1600,0.000002
FILLER_0_23_137,VGND,li1,71.3000,76.1600,0.000002
FILLER_0_23_125,VGND,li1,65.7800,76.1600,0.000002
FILLER_0_23_113,VGND,li1,60.2600,76.1600,0.000002
FILLER_0_23_111,VGND,li1,56.8100,76.1600,0.000002
FILLER_0_23_107,VGND,li1,55.6600,76.1600,0.000002
FILLER_0_23_95,VGND,li1,51.9800,76.1600,0.000002
FILLER_0_23_83,VGND,li1,46.4600,76.1600,0.000002
FILLER_0_23_71,VGND,li1,40.9400,76.1600,0.000002
FILLER_0_23_65,VGND,li1,35.6500,76.1600,0.000002
FILLER_0_23_57,VGND,li1,33.5800,76.1600,0.000002
FILLER_0_23_55,VGND,li1,31.0500,76.1600,0.000002
FILLER_0_23_49,VGND,li1,29.4400,76.1600,0.000002
FILLER_0_23_37,VGND,li1,25.3000,76.1600,0.000001
FILLER_0_23_11,VGND,li1,10.8100,76.1600,0.000002
FILLER_0_23_3,VGND,li1,8.7400,76.1600,0.000002
FILLER_0_22_238,VGND,li1,115.2300,70.7200,0.000013
FILLER_0_22_230,VGND,li1,113.1600,70.7200,0.000013
FILLER_0_22_209,VGND,li1,102.3500,70.7200,0.000012
FILLER_0_22_197,VGND,li1,98.9000,70.7200,0.000012
FILLER_0_22_195,VGND,li1,95.4500,70.7200,0.000011
FILLER_0_22_189,VGND,li1,93.8400,70.7200,0.000011
FILLER_0_22_177,VGND,li1,89.7000,70.7200,0.000011
FILLER_0_22_165,VGND,li1,84.1800,70.7200,0.000010
FILLER_0_22_153,VGND,li1,78.6600,70.7200,0.000010
FILLER_0_22_141,VGND,li1,73.1400,70.7200,0.000009
FILLER_0_22_139,VGND,li1,69.6900,70.7200,0.000008
FILLER_0_22_133,VGND,li1,68.0800,70.7200,0.000008
FILLER_0_22_121,VGND,li1,63.9400,70.7200,0.000008
FILLER_0_22_109,VGND,li1,58.4200,70.7200,0.000007
FILLER_0_22_97,VGND,li1,52.9000,70.7200,0.000006
