Instance,Terminal,Layer,X location,Y location,Voltage
input40,VPWR,li1,10.3500,35.3600,1.799998
input39,VPWR,li1,40.7100,46.2400,1.799995
input38,VPWR,li1,47.1500,46.2400,1.799995
input37,VPWR,li1,47.1500,24.4800,1.799993
input36,VPWR,li1,36.5700,19.0400,1.799995
input35,VPWR,li1,42.0900,13.6000,1.799993
input34,VPWR,li1,43.0100,13.6000,1.799993
input33,VPWR,li1,42.0900,46.2400,1.799995
input32,VPWR,li1,47.1500,19.0400,1.799994
input31,VPWR,li1,37.9500,19.0400,1.799995
input30,VPWR,li1,28.7500,51.6800,1.799995
input29,VPWR,li1,33.3500,51.6800,1.799995
input28,VPWR,li1,15.4100,51.6800,1.799996
input27,VPWR,li1,10.8100,51.6800,1.799996
input26,VPWR,li1,43.4700,46.2400,1.799995
input25,VPWR,li1,21.8500,51.6800,1.799997
input24,VPWR,li1,8.9700,51.6800,1.799996
input23,VPWR,li1,42.0900,51.6800,1.799994
input22,VPWR,li1,14.0300,46.2400,1.799997
input21,VPWR,li1,12.1900,51.6800,1.799996
input20,VPWR,li1,10.8100,24.4800,1.799995
input19,VPWR,li1,15.4100,19.0400,1.799997
input18,VPWR,li1,10.8100,13.6000,1.799995
input17,VPWR,li1,12.6500,19.0400,1.799996
input16,VPWR,li1,17.7100,13.6000,1.799995
input15,VPWR,li1,14.0300,19.0400,1.799997
input14,VPWR,li1,36.1100,13.6000,1.799994
input13,VPWR,li1,34.7300,13.6000,1.799994
input12,VPWR,li1,35.1900,51.6800,1.799994
input11,VPWR,li1,47.1500,29.9200,1.799994
input10,VPWR,li1,47.1500,35.3600,1.799998
input9,VPWR,li1,23.6900,51.6800,1.799996
input8,VPWR,li1,7.5900,29.9200,1.799996
input7,VPWR,li1,47.1500,40.8000,1.799997
input6,VPWR,li1,47.1500,46.2400,1.799995
input5,VPWR,li1,47.1500,24.4800,1.799993
input4,VPWR,li1,35.1900,19.0400,1.799995
input3,VPWR,li1,43.4700,13.6000,1.799993
input2,VPWR,li1,43.4700,19.0400,1.799994
input1,VPWR,li1,45.7700,46.2400,1.799995
TAP_TAPCELL_ROW_15_58,VPWR,li1,44.3900,51.9860,1.799994
TAP_TAPCELL_ROW_15_57,VPWR,li1,31.5100,51.9860,1.799995
TAP_TAPCELL_ROW_15_56,VPWR,li1,18.6300,51.9860,1.799996
TAP_TAPCELL_ROW_14_55,VPWR,li1,44.3900,51.3730,1.799994
TAP_TAPCELL_ROW_14_54,VPWR,li1,18.6300,51.3730,1.799996
TAP_TAPCELL_ROW_13_53,VPWR,li1,31.5100,46.5460,1.799996
TAP_TAPCELL_ROW_12_52,VPWR,li1,44.3900,45.9330,1.799995
TAP_TAPCELL_ROW_12_51,VPWR,li1,18.6300,45.9330,1.799997
TAP_TAPCELL_ROW_11_50,VPWR,li1,31.5100,41.1060,1.799998
TAP_TAPCELL_ROW_10_49,VPWR,li1,44.3900,40.4930,1.799997
TAP_TAPCELL_ROW_10_48,VPWR,li1,18.6300,40.4930,1.799998
TAP_TAPCELL_ROW_9_47,VPWR,li1,31.5100,35.6660,1.799998
TAP_TAPCELL_ROW_8_46,VPWR,li1,44.3900,35.0530,1.799998
TAP_TAPCELL_ROW_8_45,VPWR,li1,18.6300,35.0530,1.799999
TAP_TAPCELL_ROW_7_44,VPWR,li1,31.5100,30.2260,1.799995
TAP_TAPCELL_ROW_6_43,VPWR,li1,44.3900,29.6130,1.799994
TAP_TAPCELL_ROW_6_42,VPWR,li1,18.6300,29.6130,1.799997
TAP_TAPCELL_ROW_5_41,VPWR,li1,31.5100,24.7860,1.799994
TAP_TAPCELL_ROW_4_40,VPWR,li1,44.3900,24.1730,1.799993
TAP_TAPCELL_ROW_4_39,VPWR,li1,18.6300,24.1730,1.799996
TAP_TAPCELL_ROW_3_38,VPWR,li1,31.5100,19.3460,1.799996
TAP_TAPCELL_ROW_2_37,VPWR,li1,44.3900,18.7330,1.799994
TAP_TAPCELL_ROW_2_36,VPWR,li1,18.6300,18.7330,1.799997
TAP_TAPCELL_ROW_1_35,VPWR,li1,31.5100,13.9060,1.799995
TAP_TAPCELL_ROW_0_34,VPWR,li1,44.3900,13.2930,1.799993
TAP_TAPCELL_ROW_0_33,VPWR,li1,31.5100,13.2930,1.799995
TAP_TAPCELL_ROW_0_32,VPWR,li1,18.6300,13.2930,1.799996
PHY_EDGE_ROW_15_Left_31,VPWR,li1,6.2100,51.6800,1.799996
PHY_EDGE_ROW_14_Left_30,VPWR,li1,6.2100,51.6800,1.799996
PHY_EDGE_ROW_13_Left_29,VPWR,li1,6.2100,46.2400,1.799997
PHY_EDGE_ROW_12_Left_28,VPWR,li1,6.2100,46.2400,1.799997
PHY_EDGE_ROW_11_Left_27,VPWR,li1,6.2100,40.8000,1.799997
PHY_EDGE_ROW_10_Left_26,VPWR,li1,6.2100,40.8000,1.799997
PHY_EDGE_ROW_9_Left_25,VPWR,li1,6.2100,35.3600,1.799998
PHY_EDGE_ROW_8_Left_24,VPWR,li1,6.2100,35.3600,1.799998
PHY_EDGE_ROW_7_Left_23,VPWR,li1,6.2100,29.9200,1.799996
PHY_EDGE_ROW_6_Left_22,VPWR,li1,6.2100,29.9200,1.799996
PHY_EDGE_ROW_5_Left_21,VPWR,li1,6.2100,24.4800,1.799995
PHY_EDGE_ROW_4_Left_20,VPWR,li1,6.2100,24.4800,1.799995
PHY_EDGE_ROW_3_Left_19,VPWR,li1,6.2100,19.0400,1.799996
PHY_EDGE_ROW_2_Left_18,VPWR,li1,6.2100,19.0400,1.799996
PHY_EDGE_ROW_1_Left_17,VPWR,li1,6.2100,13.6000,1.799994
PHY_EDGE_ROW_0_Left_16,VPWR,li1,6.2100,13.6000,1.799994
PHY_EDGE_ROW_15_Right_15,VPWR,li1,48.5300,51.6800,1.799994
PHY_EDGE_ROW_14_Right_14,VPWR,li1,48.5300,51.6800,1.799994
PHY_EDGE_ROW_13_Right_13,VPWR,li1,48.5300,46.2400,1.799995
PHY_EDGE_ROW_12_Right_12,VPWR,li1,48.5300,46.2400,1.799995
PHY_EDGE_ROW_11_Right_11,VPWR,li1,48.5300,40.8000,1.799997
PHY_EDGE_ROW_10_Right_10,VPWR,li1,48.5300,40.8000,1.799997
PHY_EDGE_ROW_9_Right_9,VPWR,li1,48.5300,35.3600,1.799998
PHY_EDGE_ROW_8_Right_8,VPWR,li1,48.5300,35.3600,1.799998
PHY_EDGE_ROW_7_Right_7,VPWR,li1,48.5300,29.9200,1.799994
PHY_EDGE_ROW_6_Right_6,VPWR,li1,48.5300,29.9200,1.799994
PHY_EDGE_ROW_5_Right_5,VPWR,li1,48.5300,24.4800,1.799993
PHY_EDGE_ROW_4_Right_4,VPWR,li1,48.5300,24.4800,1.799993
PHY_EDGE_ROW_3_Right_3,VPWR,li1,48.5300,19.0400,1.799994
PHY_EDGE_ROW_2_Right_2,VPWR,li1,48.5300,19.0400,1.799994
PHY_EDGE_ROW_1_Right_1,VPWR,li1,48.5300,13.6000,1.799993
PHY_EDGE_ROW_0_Right_0,VPWR,li1,48.5300,13.6000,1.799993
_228_,VPWR,li1,26.2200,24.4800,1.799994
_227_,VPWR,li1,24.1500,24.4800,1.799995
_226_,VPWR,li1,22.5400,29.9200,1.799997
_225_,VPWR,li1,19.3200,24.4800,1.799996
_224_,VPWR,li1,22.5400,19.0400,1.799997
_223_,VPWR,li1,14.2600,29.9200,1.799996
_222_,VPWR,li1,12.6500,24.4800,1.799995
_221_,VPWR,li1,9.6600,24.4800,1.799995
_220_,VPWR,li1,11.7300,40.8000,1.799997
_219_,VPWR,li1,29.9000,29.9200,1.799996
_218_,VPWR,li1,35.8800,29.9200,1.799995
_217_,VPWR,li1,42.0900,29.9200,1.799994
_216_,VPWR,li1,42.3200,40.8000,1.799997
_215_,VPWR,li1,43.0100,19.0400,1.799994
_214_,VPWR,li1,37.2600,13.6000,1.799994
_213_,VPWR,li1,25.3000,46.2400,1.799997
_212_,VPWR,li1,20.4700,51.6800,1.799997
_211_,VPWR,li1,36.8000,46.2400,1.799996
_210_,VPWR,li1,46.0000,51.6800,1.799994
_209_,VPWR,li1,40.4800,51.6800,1.799994
_208_,VPWR,li1,39.5600,46.2400,1.799995
_207_,VPWR,li1,22.3100,46.2400,1.799998
_206_,VPWR,li1,28.2900,51.6800,1.799995
_205_,VPWR,li1,25.3000,51.6800,1.799996
_204_,VPWR,li1,38.4100,24.4800,1.799993
_203_,VPWR,li1,39.5600,19.0400,1.799995
_202_,VPWR,li1,40.2500,19.0400,1.799995
_201_,VPWR,li1,39.5600,24.4800,1.799993
_200_,VPWR,li1,40.2500,13.6000,1.799994
_199_,VPWR,li1,45.7700,13.6000,1.799993
_198_,VPWR,li1,37.9500,13.6000,1.799994
_197_,VPWR,li1,42.0900,24.4800,1.799993
_196_,VPWR,li1,44.8500,13.6000,1.799993
_195_,VPWR,li1,40.2500,13.6000,1.799994
_194_,VPWR,li1,42.0900,29.9200,1.799994
_193_,VPWR,li1,46.2300,29.9200,1.799994
_192_,VPWR,li1,43.2400,24.4800,1.799993
_191_,VPWR,li1,46.2300,40.8000,1.799997
_190_,VPWR,li1,45.3100,40.8000,1.799997
_189_,VPWR,li1,43.0100,35.3600,1.799998
_188_,VPWR,li1,44.8500,29.9200,1.799994
_187_,VPWR,li1,45.3100,35.3600,1.799998
_186_,VPWR,li1,43.0100,40.8000,1.799997
_185_,VPWR,li1,17.7100,46.2400,1.799997
_184_,VPWR,li1,28.2900,46.2400,1.799997
_183_,VPWR,li1,33.3500,51.6800,1.799995
_182_,VPWR,li1,14.0300,51.6800,1.799996
_181_,VPWR,li1,39.1000,51.6800,1.799994
_180_,VPWR,li1,44.8500,46.2400,1.799995
_179_,VPWR,li1,45.7700,51.6800,1.799994
_178_,VPWR,li1,42.7800,51.6800,1.799994
_177_,VPWR,li1,36.5700,51.6800,1.799994
_176_,VPWR,li1,38.4100,51.6800,1.799994
_175_,VPWR,li1,16.7900,51.6800,1.799996
_174_,VPWR,li1,31.0500,51.6800,1.799995
_173_,VPWR,li1,26.9100,51.6800,1.799995
_172_,VPWR,li1,22.5400,29.9200,1.799997
_171_,VPWR,li1,20.4700,35.3600,1.799999
_170_,VPWR,li1,26.2200,29.9200,1.799996
_169_,VPWR,li1,20.4700,35.3600,1.799999
_168_,VPWR,li1,23.2300,35.3600,1.799999
_167_,VPWR,li1,29.6700,29.9200,1.799996
_166_,VPWR,li1,33.3500,35.3600,1.799998
_165_,VPWR,li1,36.1100,29.9200,1.799995
_164_,VPWR,li1,33.3500,29.9200,1.799995
_163_,VPWR,li1,26.9100,24.4800,1.799994
_162_,VPWR,li1,26.2200,19.0400,1.799997
_161_,VPWR,li1,30.1300,13.6000,1.799995
_160_,VPWR,li1,33.3500,13.6000,1.799994
_159_,VPWR,li1,23.0000,13.6000,1.799996
_158_,VPWR,li1,20.2400,13.6000,1.799996
_157_,VPWR,li1,30.1300,13.6000,1.799995
